nama citra , contrast(0) , contrast(45) , contrast(90) , contrast(135) , dissimilarity(0) , dissimilarity(45) , dissimilarity(90) , dissimilarity(135) , homogeneity(0) , homogeneity(45) , homogeneity(90) , homogeneity(135) , energy(0) , energy(45) , energy(90) , energy(135) , correlation(0) , correlation(45) , correlation(90) , correlation(135) , ASM(0) , ASM(45) , ASM(90) , ASM(135) , label
Copy of m14.png , 25944.3182 , 28163.5675 , 24006.7045 , 25944.3182 , 101.7424 , 110.4454 , 94.1439 , 101.7424 , 0.601 , 0.5669 , 0.6308 , 0.601 , 0.5839 , 0.5776 , 0.5899 , 0.5839 , 0.0484 , -0.0292 , 0.1192 , 0.0484 , 0.3409 , 0.3336 , 0.348 , 0.3409 , matang
Copy of m140.png , 26082.25 , 29271.5335 , 25294.0682 , 26082.25 , 102.2833 , 114.7903 , 99.1924 , 102.2833 , 0.5989 , 0.5498 , 0.611 , 0.5989 , 0.5783 , 0.5708 , 0.5801 , 0.5783 , 0.057 , -0.055 , 0.0863 , 0.057 , 0.3344 , 0.3258 , 0.3366 , 0.3344 , matang
Copy of m141.png , 25583.0682 , 29895.1791 , 27251.3864 , 25583.0682 , 100.3258 , 117.236 , 106.8682 , 100.3258 , 0.6066 , 0.5403 , 0.5809 , 0.6066 , 0.577 , 0.5672 , 0.5718 , 0.577 , 0.0816 , -0.0695 , 0.0244 , 0.0816 , 0.333 , 0.3218 , 0.327 , 0.333 , matang
Copy of m142.png , 25760.4091 , 29968.1589 , 26686.5227 , 25760.4091 , 101.0212 , 117.5222 , 104.653 , 101.0212 , 0.6038 , 0.5391 , 0.5896 , 0.6038 , 0.577 , 0.568 , 0.5746 , 0.577 , 0.074 , -0.0746 , 0.0409 , 0.074 , 0.333 , 0.3226 , 0.3301 , 0.333 , matang
Copy of m143.png , 25766.9773 , 29490.4729 , 25313.7727 , 25766.9773 , 101.047 , 115.6489 , 99.2697 , 101.047 , 0.6037 , 0.5465 , 0.6107 , 0.6037 , 0.5821 , 0.5732 , 0.5826 , 0.5821 , 0.0609 , -0.0705 , 0.0793 , 0.0609 , 0.3388 , 0.3285 , 0.3395 , 0.3388 , matang
Copy of m144.png , 24630.6818 , 28422.314 , 24538.7273 , 24630.6818 , 96.5909 , 111.4601 , 96.2303 , 96.5909 , 0.6212 , 0.5629 , 0.6226 , 0.6212 , 0.5911 , 0.5806 , 0.5909 , 0.5911 , 0.0878 , -0.0486 , 0.0927 , 0.0878 , 0.3494 , 0.3371 , 0.3491 , 0.3494 , matang
Copy of m145.png , 24006.7045 , 29696.1433 , 27225.1136 , 24006.7045 , 94.1439 , 116.4555 , 106.7652 , 94.1439 , 0.6308 , 0.5433 , 0.5813 , 0.6308 , 0.5862 , 0.5716 , 0.5762 , 0.5862 , 0.1282 , -0.0741 , 0.0141 , 0.1282 , 0.3436 , 0.3267 , 0.332 , 0.3436 , matang
Copy of m146.png , 26003.4318 , 29669.6051 , 26831.0227 , 26003.4318 , 101.9742 , 116.3514 , 105.2197 , 101.9742 , 0.6001 , 0.5437 , 0.5874 , 0.6001 , 0.5776 , 0.5691 , 0.5744 , 0.5776 , 0.0623 , -0.0661 , 0.0352 , 0.0623 , 0.3336 , 0.3239 , 0.3299 , 0.3336 , matang
Copy of m147.png , 25615.9091 , 28800.4821 , 25977.1591 , 25615.9091 , 100.4545 , 112.9431 , 101.8712 , 100.4545 , 0.6061 , 0.5571 , 0.6005 , 0.6061 , 0.5836 , 0.5754 , 0.5816 , 0.5836 , 0.0635 , -0.0491 , 0.0531 , 0.0635 , 0.3406 , 0.3311 , 0.3382 , 0.3406 , matang
Copy of m148.png , 24847.4318 , 27851.7447 , 24111.7955 , 24847.4318 , 97.4409 , 109.2225 , 94.5561 , 97.4409 , 0.6179 , 0.5717 , 0.6292 , 0.6179 , 0.5907 , 0.5821 , 0.5932 , 0.5907 , 0.0791 , -0.0288 , 0.106 , 0.0791 , 0.3489 , 0.3388 , 0.3519 , 0.3489 , matang
Copy of m149.png , 24834.2955 , 29059.2287 , 25819.5227 , 24834.2955 , 97.3894 , 113.9578 , 101.253 , 97.3894 , 0.6181 , 0.5531 , 0.6029 , 0.6181 , 0.5864 , 0.5758 , 0.5835 , 0.5864 , 0.0908 , -0.0608 , 0.0549 , 0.0908 , 0.3439 , 0.3315 , 0.3405 , 0.3439 , matang
Copy of m15.png , 25313.7727 , 27559.8255 , 24315.4091 , 25313.7727 , 99.2697 , 108.0777 , 95.3545 , 99.2697 , 0.6107 , 0.5762 , 0.6261 , 0.6107 , 0.5909 , 0.5842 , 0.5936 , 0.5909 , 0.0576 , -0.0225 , 0.0958 , 0.0576 , 0.3492 , 0.3413 , 0.3523 , 0.3492 , matang
Copy of m155.png , 26837.5909 , 29251.6299 , 23402.4318 , 26837.5909 , 105.2455 , 114.7123 , 91.7742 , 105.2455 , 0.5873 , 0.5502 , 0.6401 , 0.5873 , 0.5804 , 0.5744 , 0.5904 , 0.5804 , 0.019 , -0.0647 , 0.1451 , 0.019 , 0.3369 , 0.33 , 0.3486 , 0.3369 , matang
Copy of m156.png , 26765.3409 , 29470.5693 , 24742.3409 , 26765.3409 , 104.9621 , 115.5709 , 97.0288 , 104.9621 , 0.5884 , 0.5468 , 0.6195 , 0.5884 , 0.5808 , 0.5744 , 0.5857 , 0.5808 , 0.0212 , -0.0734 , 0.0967 , 0.0212 , 0.3373 , 0.3299 , 0.343 , 0.3373 , matang
Copy of m16.png , 25313.7727 , 27559.8255 , 24315.4091 , 25313.7727 , 99.2697 , 108.0777 , 95.3545 , 99.2697 , 0.6107 , 0.5762 , 0.6261 , 0.6107 , 0.5909 , 0.5842 , 0.5936 , 0.5909 , 0.0576 , -0.0225 , 0.0958 , 0.0576 , 0.3492 , 0.3413 , 0.3523 , 0.3492 , matang
Copy of m17.png , 25313.7727 , 27559.8255 , 24315.4091 , 25313.7727 , 99.2697 , 108.0777 , 95.3545 , 99.2697 , 0.6107 , 0.5762 , 0.6261 , 0.6107 , 0.5909 , 0.5842 , 0.5936 , 0.5909 , 0.0576 , -0.0225 , 0.0958 , 0.0576 , 0.3492 , 0.3413 , 0.3523 , 0.3492 , matang
Copy of m18.png , 25313.7727 , 27559.8255 , 24315.4091 , 25313.7727 , 99.2697 , 108.0777 , 95.3545 , 99.2697 , 0.6107 , 0.5762 , 0.6261 , 0.6107 , 0.5909 , 0.5842 , 0.5936 , 0.5909 , 0.0576 , -0.0225 , 0.0958 , 0.0576 , 0.3492 , 0.3413 , 0.3523 , 0.3492 , matang
Copy of m19.png , 25313.7727 , 27559.8255 , 24315.4091 , 25313.7727 , 99.2697 , 108.0777 , 95.3545 , 99.2697 , 0.6107 , 0.5762 , 0.6261 , 0.6107 , 0.5909 , 0.5842 , 0.5936 , 0.5909 , 0.0576 , -0.0225 , 0.0958 , 0.0576 , 0.3492 , 0.3413 , 0.3523 , 0.3492 , matang
Copy of m20.png , 25313.7727 , 27559.8255 , 24315.4091 , 25313.7727 , 99.2697 , 108.0777 , 95.3545 , 99.2697 , 0.6107 , 0.5762 , 0.6261 , 0.6107 , 0.5909 , 0.5842 , 0.5936 , 0.5909 , 0.0576 , -0.0225 , 0.0958 , 0.0576 , 0.3492 , 0.3413 , 0.3523 , 0.3492 , matang
Copy of m21.png , 23428.7045 , 24275.7346 , 20190.5909 , 23428.7045 , 91.8773 , 95.199 , 79.1788 , 91.8773 , 0.6397 , 0.6267 , 0.6895 , 0.6397 , 0.6167 , 0.6126 , 0.6296 , 0.6167 , 0.0742 , 0.0447 , 0.2028 , 0.0742 , 0.3803 , 0.3752 , 0.3964 , 0.3803 , matang
Copy of m22.png , 23428.7045 , 24275.7346 , 20190.5909 , 23428.7045 , 91.8773 , 95.199 , 79.1788 , 91.8773 , 0.6397 , 0.6267 , 0.6895 , 0.6397 , 0.6167 , 0.6126 , 0.6296 , 0.6167 , 0.0742 , 0.0447 , 0.2028 , 0.0742 , 0.3803 , 0.3752 , 0.3964 , 0.3803 , matang
Copy of m23.png , 23428.7045 , 24275.7346 , 20190.5909 , 23428.7045 , 91.8773 , 95.199 , 79.1788 , 91.8773 , 0.6397 , 0.6267 , 0.6895 , 0.6397 , 0.6167 , 0.6126 , 0.6296 , 0.6167 , 0.0742 , 0.0447 , 0.2028 , 0.0742 , 0.3803 , 0.3752 , 0.3964 , 0.3803 , matang
Copy of m24.png , 24440.2045 , 26982.6217 , 21727.5455 , 24440.2045 , 95.8439 , 105.8142 , 85.2061 , 95.8439 , 0.6241 , 0.585 , 0.6659 , 0.6241 , 0.5998 , 0.5915 , 0.6095 , 0.5998 , 0.0734 , -0.0186 , 0.177 , 0.0734 , 0.3598 , 0.3498 , 0.3715 , 0.3598 , matang
Copy of m25.png , 24440.2045 , 26982.6217 , 21727.5455 , 24440.2045 , 95.8439 , 105.8142 , 85.2061 , 95.8439 , 0.6241 , 0.585 , 0.6659 , 0.6241 , 0.5998 , 0.5915 , 0.6095 , 0.5998 , 0.0734 , -0.0186 , 0.177 , 0.0734 , 0.3598 , 0.3498 , 0.3715 , 0.3598 , matang
Copy of m26.png , 24440.2045 , 26982.6217 , 21727.5455 , 24440.2045 , 95.8439 , 105.8142 , 85.2061 , 95.8439 , 0.6241 , 0.585 , 0.6659 , 0.6241 , 0.5998 , 0.5915 , 0.6095 , 0.5998 , 0.0734 , -0.0186 , 0.177 , 0.0734 , 0.3598 , 0.3498 , 0.3715 , 0.3598 , matang
Copy of m27.png , 25491.1136 , 28521.832 , 24919.6818 , 25491.1136 , 99.9652 , 111.8503 , 97.7242 , 99.9652 , 0.608 , 0.5614 , 0.6168 , 0.608 , 0.5852 , 0.5771 , 0.5868 , 0.5852 , 0.0649 , -0.0427 , 0.0861 , 0.0649 , 0.3424 , 0.3331 , 0.3443 , 0.3424 , matang
Copy of m28.png , 25491.1136 , 28521.832 , 24919.6818 , 25491.1136 , 99.9652 , 111.8503 , 97.7242 , 99.9652 , 0.608 , 0.5614 , 0.6168 , 0.608 , 0.5852 , 0.5771 , 0.5868 , 0.5852 , 0.0649 , -0.0427 , 0.0861 , 0.0649 , 0.3424 , 0.3331 , 0.3443 , 0.3424 , matang
Copy of m29.png , 25491.1136 , 28521.832 , 24919.6818 , 25491.1136 , 99.9652 , 111.8503 , 97.7242 , 99.9652 , 0.608 , 0.5614 , 0.6168 , 0.608 , 0.5852 , 0.5771 , 0.5868 , 0.5852 , 0.0649 , -0.0427 , 0.0861 , 0.0649 , 0.3424 , 0.3331 , 0.3443 , 0.3424 , matang
Copy of m30 (copy).png , 24860.5682 , 27785.3994 , 24545.2955 , 24860.5682 , 97.4924 , 108.9624 , 96.2561 , 97.4924 , 0.6177 , 0.5727 , 0.6225 , 0.6177 , 0.5924 , 0.5838 , 0.5934 , 0.5924 , 0.0741 , -0.0309 , 0.0859 , 0.0741 , 0.3509 , 0.3408 , 0.3521 , 0.3509 , matang
Copy of m36.png , 25491.1136 , 28389.1414 , 23947.5909 , 25491.1136 , 99.9652 , 111.33 , 93.9121 , 99.9652 , 0.608 , 0.5634 , 0.6317 , 0.608 , 0.5875 , 0.5797 , 0.5921 , 0.5875 , 0.0587 , -0.0446 , 0.1164 , 0.0587 , 0.3452 , 0.3361 , 0.3505 , 0.3452 , matang
Copy of m37 (copy).png , 26010.0 , 28355.9688 , 23816.2273 , 26010.0 , 102.0 , 111.1999 , 93.397 , 102.0 , 0.6 , 0.5639 , 0.6337 , 0.6 , 0.5843 , 0.578 , 0.591 , 0.5843 , 0.0443 , -0.0381 , 0.1251 , 0.0443 , 0.3415 , 0.334 , 0.3493 , 0.3415 , matang
Copy of m37.png , 26010.0 , 28355.9688 , 23816.2273 , 26010.0 , 102.0 , 111.1999 , 93.397 , 102.0 , 0.6 , 0.5639 , 0.6337 , 0.6 , 0.5843 , 0.578 , 0.591 , 0.5843 , 0.0443 , -0.0381 , 0.1251 , 0.0443 , 0.3415 , 0.334 , 0.3493 , 0.3415 , matang
Copy of m39.png , 26010.0 , 28355.9688 , 23816.2273 , 26010.0 , 102.0 , 111.1999 , 93.397 , 102.0 , 0.6 , 0.5639 , 0.6337 , 0.6 , 0.5843 , 0.578 , 0.591 , 0.5843 , 0.0443 , -0.0381 , 0.1251 , 0.0443 , 0.3415 , 0.334 , 0.3493 , 0.3415 , matang
Copy of m40.png , 25530.5227 , 28501.9284 , 25412.2955 , 25530.5227 , 100.1197 , 111.7723 , 99.6561 , 100.1197 , 0.6074 , 0.5617 , 0.6092 , 0.6074 , 0.5818 , 0.574 , 0.5818 , 0.5818 , 0.072 , -0.033 , 0.077 , 0.072 , 0.3384 , 0.3295 , 0.3385 , 0.3384 , matang
Copy of m41.png , 25530.5227 , 28501.9284 , 25412.2955 , 25530.5227 , 100.1197 , 111.7723 , 99.6561 , 100.1197 , 0.6074 , 0.5617 , 0.6092 , 0.6074 , 0.5818 , 0.574 , 0.5818 , 0.5818 , 0.072 , -0.033 , 0.077 , 0.072 , 0.3384 , 0.3295 , 0.3385 , 0.3384 , matang
Copy of m42.png , 25530.5227 , 28501.9284 , 25412.2955 , 25530.5227 , 100.1197 , 111.7723 , 99.6561 , 100.1197 , 0.6074 , 0.5617 , 0.6092 , 0.6074 , 0.5818 , 0.574 , 0.5818 , 0.5818 , 0.072 , -0.033 , 0.077 , 0.072 , 0.3384 , 0.3295 , 0.3385 , 0.3384 , matang
